"","member","weights"
"1","FOLC1","2.8264314774006e-47"
"2","FOLC2","0.115485469698319"
"3","FOLC3","4.67184370493874e-22"
"4","FOLC4","2.91428497927129e-15"
"5","FOLC5","1.46037802470138e-44"
"6","FOLC6","0.0352429039184891"
"7","FOLC7","1.1093238781466e-39"
"8","FOLC8","1.05820204734383e-37"
"9","FOLC9","1.62012731199844e-36"
"10","FOLC10","3.5286858703969e-47"
"11","FOLC11","0.0369620335771081"
"12","FOLC12","2.00110381138059e-19"
"13","FOLC13","0.0801750770209837"
"14","FOLC14","1.85064081674745e-16"
"15","FOLC15","6.83677338784325e-29"
"16","FOLC16","5.28202177559765e-28"
"17","FOLC17","0.0650575043833705"
"18","FOLC18","5.95622769253714e-73"
"19","FOLC19","7.10760852668243e-44"
"20","FOLC20","2.72815620476299e-68"
"21","FOLC21","9.15291796869692e-55"
"22","FOLC22","7.19236821631865e-20"
"23","FOLC23","3.33683719656678e-51"
"24","FOLC24","8.96892516468209e-14"
"25","FOLC25","2.09734868453285e-18"
"26","FOLC26","1.65184248376199e-31"
"27","FOLC27","4.7659812076528e-29"
"28","FOLC28","1.96825874798822e-35"
"29","FOLC29","0.118687841653451"
"30","FOLC30","1.19934939794213e-65"
"31","FOLC31","1.21280002934175e-24"
"32","FOLC32","4.90925803079282e-22"
"33","FOLC33","1.2444650248847e-26"
"34","FOLC34","2.5839263465971e-28"
"35","FOLC35","9.59477183058816e-29"
"36","FOLC36","0.0587130372906437"
"37","FOLC37","6.00874128938423e-19"
"38","FOLC38","0.160074939421331"
"39","FOLC39","1.51250124158401e-32"
"40","FOLC40","5.59770824694987e-29"
"41","FOLC41","2.10000444289522e-08"
"42","FOLC42","1.54315826386132e-64"
"43","FOLC43","1.65662515828343e-22"
"44","FOLC44","0.0395597891330725"
"45","FOLC45","8.4952874848723e-26"
"46","FOLC46","1.35048242288572e-87"
"47","FOLC47","6.93468978489393e-39"
"48","FOLC48","0.0764281734127857"
"49","FOLC49","0.0576666770898638"
"50","FOLC50","1.01408276766107e-09"
"51","FOLC51","4.09968320038013e-77"
"52","FOLC52","0.0831619919450225"
"53","FOLC53","2.08412442926265e-14"
"54","FOLC54","0.00334974117289818"
"55","FOLC55","0.0273629164575312"
"56","FOLC56","0.0024318541287933"
"57","FOLC57","0.0396400276744698"
"58","FOLC58","7.62701922892695e-12"
"59","FOLC59","3.98338057587171e-75"
"60","sd","0.147579352511351"
